category,question,answer
goldfish,Does the goldfish grow long or short?,short
great white shark,Is the size of the great white shark small or large?,large
tiger shark,What is the size of a tiger shark?,large
cock,Does a cock have a long or short beak?,short
hen,Does a hen have a long or short beak?,short
goldfinch,Does a goldfinch have a long or short neck?,short
ostrich,"Compared to its body, is the head of an Ostrich small or large?",small
ostrich,Is the ostrich a small or large bird?,large
brambling,Does a brambling have a long beak or a short beak?,short
goldfinch,Does a goldfinch have a long or short beak?,short
house finch,Do house finches have short or long pointed beaks?,short
house finch,Does the house finch have a large or small body?,small
house finch,Does a house finch have a long or short neck?,short
junco,What is the size of the junco?,small
junco,Does a junco have a long or short beak?,short
junco,Does a junco have a long or short neck?,short
robin,Does a robin have a long or short beak?,short
robin,Does a robin have a long or short neck?,short
jay,Does a jay have a long or short beak?,short
jay,Does a jay have a long or short neck?,short
water ouzel,"What is the size of the water ouzel’s beak, big or small?",small
water ouzel,Does the water ouzel have a long or short neck?,short
bald eagle,Are the wings of a bald eagle big or small?,big
vulture,Are the wings of a vulture large or small?,large
European fire salamander,Does the European fire salamander have a long or short tail?,long
spotted salamander,Does the spotted salamander have a long or short tail?,long
spotted salamander,What is the size of the spotted salamander?,small
axolotl,Does the axolotl have big or small eyes?,small
tree frog,Does a tree frog have a small or large mouth?,large
tree frog,What's the size of the tree frog?,small
tree frog,Does a tree frog have a long or short neck?,short
tailed frog,Does the tailed frog have large or small eyes?,large
terrapin,Are the terrapin's legs short or long?,short
agama,Does the agama have a long or short tail?,long
green lizard,Does the green lizard have a long or short neck?,long
Komodo dragon,Does the Komodo dragon have a long or short tail?,long
Komodo dragon,Are the Komodo dragon's legs very small or large?,large
African crocodile,Does the African crocodile have a long or short tail?,long
African crocodile,Does the African crocodile have long or short horns?,short
triceratops,Is the triceratops big or small?,big
boa constrictor,Is a boa constrictor long or short?,long
rock python,Is the rock python long or short?,long
green mamba,Is the green mamba slim?,yes
sidewinder,Is the sidewinder long or short?,long
harvestman,Does the harvestman have long legs or short legs?,long
harvestman,Are the harvestman's legs thin or thick?,thin
harvestman,Is the body of the harvestman thick or thin compared to its legs?,thick
scorpion,Are the eyes of a scorpion big or small compared to its claws?,small
black and gold garden spider,What is the size of the black and gold garden spider?,small
black and gold garden spider,Is the head of the black and gold garden spider large or small compared to its body?,small
barn spider,Is the barn spider small or large?,small
garden spider,What's the size of the garden spider?,small
black widow,What's the size of the black widow?,small
black grouse,Does a black grouse have short or long legs?,short
ptarmigan,Does a ptarmigan have short or long legs?,short
ptarmigan,Does a ptarmigan have short or long beaks?,short
prairie chicken,Does the prairie chicken have a long or short beak?,short
wolf spider,What is the size of the wolf spider?,small
wolf spider,Are wolf spiders small or large?,small
quail,Does a quail have short or long legs?,short
quail,Does a quail have a long or short neck?,short
partridge,Does a partridge have short or long legs?,short
partridge,Does a partridge have a long or short neck?,short
tick,Is a tick big or small?,small
black grouse,Does the black grouse have a long or short beak?,short
ruffed grouse,Does the ruffed grouse have a long or short beak?,short
peacock,Does the peacock have a long or short neck?,long
partridge,Is the beak of a partridge small or large?,small
macaw,Do macaws have long or short tail feathers?,long
bee eater,What's the size of the bee eater?,small
coucal,Does a coucal have short or long legs?,short
hornbill,Does the hornbill have thick or thin beaks?,thick
hummingbird,Is the hummingbird big or small in size?,small
jacamar,Is the jacamar's beak long or very short?,long
jacamar,Is the beak of the jacamar thin or thick?,thin
jacamar,What's the size of the jacamar?,small
toucan,Do toucans have long or short beaks?,long
drake,Does the drake have a long or short tail?,short
goose,Does the goose have a long or short neck?,long
tusker,Does the tusker have a long or short nose?,long
wallaby,Does the wallaby have short or long front legs?,short
wallaby,Is the wallaby's tail long or short?,long
koala,Does the koala have short or long ears?,short
wombat,"Compared with the head, are the wombat's eyes large or small?",small
wombat,Does the wombat have short or long ears?,short
sea anemone,Are sea anemones' tentacles long or short?,long
flatworm,What is the size of a flatworm?,small
nematode,What size are nematodes?,small
conch,What size are the conches?,small
slug,What's the size of the slug?,small
Dungeness crab,Does the Dungeness crab have big or small eyes?,small
