category,question,answer
tench,Does a tench have scales?,yes
tench,Does a tench have fur?,no
great white shark,Does a great white shark have fur?,no
tiger shark,Do tiger sharks have pointy fins?,yes
electric ray,Does the electric ray have tough skin?,no
stingray,Does a stingray have a tail?,yes
stingray,Does a stingray have a beak?,no
cock,Does the cock have wings?,yes
cock,Does the cock have claws?,no
hen,Does a hen have feathers?,yes
hen,Does a hen have legs?,yes
hen,Does a hen have a blue head?,no
hen,Does a hen have droopy ears?,no
brambling,Does the brambling have wings?,yes
brambling,Does the brambling have shells?,no
house finch,Does the house finch have wings?,yes
junco,Does the junco have feathers?,yes
junco,Does the junco have four legs?,no
indigo bunting,Does an indigo bunting have wings?,yes
indigo bunting,Does an indigo bunting have a beak?,yes
indigo bunting,Does an indigo bunting have shells?,no
indigo bunting,Does an indigo bunting have claws?,no
magpie,Does a magpie have wings?,yes
magpie,Does the magpie have two legs?,yes
magpie,Does a magpie have a shell?,no
magpie,Does a magpie have downward ears?,no
water ouzel,Does the water ouzel have a beak?,yes
vulture,Does a vulture have a beak?,yes
vulture,Do vultures have a sharp beak?,yes
vulture,Do vultures have paws?,no
vulture,Do vultures have a shell?,no
great grey owl,Does the great grey owl have wings?,yes
great grey owl,Does the great grey owl appear to have a sharp beak?,yes
great grey owl,Does the great grey owl have spikes?,no
common newt,Does a common newt have spotted skin?,yes
common newt,Does a common newt have fur?,no
eft,Does an eft have a tail?,yes
eft,Does the eft have four legs?,yes
eft,Does the eft have a spotted pattern on its body?,no
eft,Does the eft have fur on its body?,no
eft,Does the eft have wings?,no
axolotl,Does the axolotl have a caudal fin behind the head?,yes
axolotl,Does the axolotl have fur?,no
bullfrog,Does the bullfrog have furs?,no
loggerhead,Does the loggerhead have a shell?,yes
loggerhead,Does the loggerhead have fur?,no
leatherback turtle,Does the leatherback turtle have a protective shell?,yes
leatherback turtle,Do leatherback turtles have feathers?,no
mud turtle,Does a mud turtle have a shell?,yes
mud turtle,Does a mud turtle only have two legs?,no
terrapin,Does the terrapin have shells?,yes
terrapin,Does the terrapin have fur?,no
terrapin,Does the terrapin have floppy ears?,no
banded gecko,Does the banded gecko have a beak?,no
American chameleon,Does the American chameleon have a tail or not?,yes
American chameleon,Does the American chameleon have wings?,no
American chameleon,Does the American chameleon have fur?,no
whiptail,Does the whiptail have feathers?,no
green lizard,Does the skin of the green lizard have spikes?,yes
green lizard,Does the green lizard have black tails?,no
African crocodile,Do African crocodiles have feathers?,no
American alligator,Does the American alligator have a tail?,yes
American alligator,Does the American alligator have feathers?,no
American alligator,Does the American alligator have a furry tail?,no
thunder snake,Does the thunder snake have legs?,no
ringneck snake,Does the ringneck snake have scales?,yes
ringneck snake,Does the ringneck snake have a sharp beak?,no
hognose snake,Does the hognose snake have fur?,no
king snake,Does the king snake have scales?,yes
water snake,Does the water snake have stripes?,yes
water snake,Does the water snake have legs?,no
vine snake,Does a vine snake have legs?,no
night snake,Does the night snake have spots on its skin?,yes
night snake,Does the night snake have fur?,no
boa constrictor,Do boa constrictors have wings?,no
Indian cobra,Does the Indian cobra have wings?,no
sea snake,Does the sea snake have lines on its body?,yes
horned viper,Does a horned viper have scales?,yes
horned viper,Do horned vipers have horns?,yes
horned viper,Do horned vipers have feathers?,no
horned viper,Do horned vipers have legs?,no
diamondback,Does the diamondback have spots on the skin?,yes
diamondback,Does a diamondback have wings?,no
scorpion,Does a scorpion have a tail?,yes
scorpion,Does a scorpion have fur?,no
black and gold garden spider,Does the black and gold garden spider have fur?,no
black and gold garden spider,Does the black and gold garden spider have a tail?,no
black and gold garden spider,Does the black and gold garden spider have stripes and spots on it?,yes
garden spider,Do garden spiders have spots on their back?,yes
black widow,Does a black widow have a tail or not?,no
tarantula,Does a tarantula have eight legs?,yes
tarantula,Does a tarantula have six legs?,no
tarantula,Does a tarantula have a tail?,no
tick,Does a tick have legs?,yes
tick,Does a tick have fur?,no
tick,Does a tick have a tail?,no
centipede,Does the centipede have fur?,no
ruffed grouse,Does the ruffed grouse have feathers?,yes
ruffed grouse,Does the ruffed grouse have two wings?,yes
ruffed grouse,Does the ruffed grouse have downward ears?,no
ruffed grouse,Does the ruffed grouse have paws?,no
prairie chicken,Does a prairie chicken have wings?,yes
prairie chicken,Does the prairie chicken have stripes on its body?,yes
prairie chicken,Does a prairie chicken have a white tail?,no
peacock,Does the peacock have a beak?,yes
peacock,Does the peacock have fins?,no
quail,Does the quail have wings?,yes
quail,Does the quail have eight legs?,no
partridge,Does a partridge have a plump body?,yes
African grey,Does an African grey have feathers?,yes
African grey,Does the African grey have a spotted pattern?,no
lorikeet,Does the lorikeet have a black mouth?,no
hornbill,Does the hornbill have feathers?,yes
hornbill,Does the hornbill have a yellow beak?,yes
hornbill,Does the hornbill have hanging ears?,no
hornbill,Does the hornbill have spots on the skin?,no
hummingbird,Does the hummingbird have a sharp beak?,yes
hummingbird,Does the hummingbird have spotted skin?,no
drake,Does the drake have a flat mouth?,yes
drake,Do drakes have feathers?,yes
drake,Do drakes have stripes on its body?,no
drake,Do drakes have a sharp beak?,no
red-breasted merganser,Does a red-breasted merganser have four legs?,no
goose,Does the goose have feathers?,yes
goose,Does the goose have scales?,no
black swan,Does the black swan have four legs?,no
black swan,Does the black swan have a tail?,no
echidna,Do echidnas have quills?,yes
echidna,Do echidnas have curly fur?,no
platypus,Does the platypus have earlobes or not?,no
platypus,Does a platypus have wings?,no
platypus,Does the platypus have a beak?,yes
wallaby,Does the wallaby have two wings?,no
koala,Does the koala have a slim body?,no
koala,Does the koala have a tail?,no
wombat,Does the wombat have a tail?,no
jellyfish,Does the jellyfish have tentacles?,yes
jellyfish,Does the jellyfish have tails?,no
sea anemone,Does a sea anemone have tentacles?,yes
sea anemone,Does a sea anemone have tails?,no
conch,Does the conch have a green body?,no
snail,Does the snail have antennas?,yes
snail,Does a snail have fur?,no
slug,Does the slug have fur?,no
slug,Does the slug have legs?,no
sea slug,Do sea slugs have legs?,no
sea slug,Does the sea slug have a patterned body?,yes
sea slug,Do sea slugs have wings?,no
Dungeness crab,Does the Dungeness crab have claws?,yes
Dungeness crab,Does the Dungeness crab have legs?,yes
Dungeness crab,Does the Dungeness crab have a tail?,no
Dungeness crab,Does the Dungeness crab have feathers?,no
rock crab,Does the rock crab have wings?,no
rock crab,Do rock crabs have shells?,yes
rock crab,Do rock crabs have fur?,no
fiddler crab,Does the fiddler crab have a blue tail?,no
king crab,Does the king crab have fur?,no
king crab,Does the king crab have a tail?,no
American lobster,Does the American lobster have antennas?,yes
American lobster,Does the American lobster have a furry tail?,no
flamingo,Does a flamingo have feathers?,yes
flamingo,Does a flamingo have spots on its skin?,no
spiny lobster,Do spiny lobsters have antennas?,yes
spiny lobster,Does a spiny lobster have shells?,yes
spiny lobster,Does a spiny lobster have fur?,no
crayfish,Does the crayfish have antennas?,yes
crayfish,Does the crayfish only have one claw?,no
crayfish,Does the crayfish have a flat mouth?,no
hermit crab,Does the hermit crab have legs?,yes
hermit crab,Does the hermit crab have claws?,yes
hermit crab,Does the hermit crab have wings?,no
hermit crab,Does the hermit crab have scales?,no
isopod,Does the isopod have fur?,no
isopod,Does the isopod have antennae?,yes
white stork,Does a white stork have a pointed beak?,yes
