category,question,answer
great white shark,What is the shape of the dorsal fin of the great white shark?,triangle
tiger shark,What is the shape of the snout of a tiger shark?,oval
hammerhead,What is the shape of the dorsal fin of the hammerhead?,triangle
electric ray,What is the shape of the electric ray?,round
stingray,What is the shape of the fin of the stingray?,oval
hen,What is the shape of the beak of the hen?,triangle
junco,What is the head shape of the junco?,round
jay,What is the shape of the jay's beak?,triangle
water ouzel,What is the shape of the beak of the water ouzel?,triangle
great grey owl,What's the shape of the head of the great grey owl?,round
axolotl,What is the shape of the axolotl's head?,round
tailed frog,What shape are the spots on tailed frogs?,round
loggerhead,What is the shape of the loggerhead's head?,round
agama,What is the shape of the agama's head?,triangle
frilled lizard,What is the shape of a frilled lizard's head?,triangle
alligator lizard,What is the head shape of the alligator lizard?,round
green snake,What is the general shape of the green snake's eyes?,round
water snake,How does the head shape of the water snake look?,oval
vine snake,What is the shape of the mouth of the vine snake?,oval
boa constrictor,What shape is the head of a boa constrictor?,round
rock python,What is the shape of the rock python?,round
Indian cobra,What's the shape of the head of the Indian cobra?,triangle
sea snake,What is the shape of the sea snake?,curved
sidewinder,What is the shape of the mouth of the sidewinder?,round
harvestman,What is the shape of the body of the harvestman?,triangle
chiton,What is the shape of a chiton?,round
chambered nautilus,What is the shape of the chambered nautilus?,round
Dungeness crab,What is the shape of the Dungeness crab's body?,round
white stork,What is the shape of the beak of the white stork?,triangle
little blue heron,What is the shape of the little blue heron's beak?,triangle
American egret,What is the shape of the beak of an American egret?,triangle
ruddy turnstone,What is the shape of the beak of the ruddy turnstone?,triangle
oystercatcher,what is the shape of an oystercatcher's beak?,triangle
king penguin,What is the shape of the beak of the king penguin?,triangle
king penguin,What shape is the king penguin's body?,oval
killer whale,What is the shape of the dorsal fin of a killer whale?,triangle
Chihuahua,What's the shape of the Chihuahua's ear?,triangle
Shih-Tzu,What is the shape of the eyes of a Shih-Tzu?,round
toy terrier,What is the shape of the toy terrier's ears?,triangle
Ibizan hound,What is the shape of the Ibizan hound ears?,triangle
Staffordshire bullterrier,What's the shape of the ear of the Staffordshire bullterrier?,triangle
American Staffordshire terrier,What is the shape of the ears of the American Staffordshire terrier?,triangle
Border terrier,What is the shape of the Border terrier's ears?,triangle
Irish terrier,What is the shape of the ear of the Irish terrier?,round
malamute,What is the shape of the malamute’s ears?,triangle
dalmatian,What is the shape of the dalmatian ears?,triangle
basenji,What is the shape of basenji's ears?,round
basenji,What is the shape of a basenji's tail?,round
pug,What shape of the eyes does the pug have?,round
