category,question,answer
academic gown,What material is the academic gown made of?,cotton
acoustic guitar,What material is the acoustic guitar made of?,wood
aircraft carrier,What material is the aircraft carrier made up of?,metal
airliner,What material is the airliner made of?,metal
ambulance,What is the ambulance's windshield made of?,glass
ambulance,What is the ambulance's shell made of?,metal
ambulance,What are the ambulance's tyres made of?,rubber
amphibian,What is an amphibian made of?,metal
ashcan,What are most ashcans made of?,metal
backpack,What are backpacks made of?,cotton
balance beam,What is a balance beam made of?,wood
balloon,What is a balloon made of?,rubber
ballpoint,What is the point of the ballpoint pen made up of?,metal
Band Aid,What material is the Band Aid made of?,fabric
banjo,What is a banjo made of?,wood
barbell,What is a barbell made of?,metal
barn,What material is the barn made of?,wood
barrel,What are barrels made of?,metal
baseball,What material is the baseball made of?,rubber
basketball,What material is the basketball made of?,rubber
bassoon,What is the bassoon made of?,metal
bath towel,What is a bath towel made of?,cotton
bathtub,What is the bathtub made of?,ceramic
beaker,What material is the beaker made of?,glass
beer bottle,What material is a beer bottle made of?,glass
beer glass,What is a beer glass made of?,glass
bikini,What are bikinis made of?,fabric
binder,What are binders usually made of?,plastic
binder,What are the prongs of a binder made of?,metal
binoculars,What are the binoculars made of?,metal
boathouse,What are most boathouses made of?,wood
bonnet,What is the bonnet made of?,cotton
bottlecap,What material are most bottlecaps made of?,metal
bow,What material are bows made of?,wood
breakwater,What are most breakwaters made of?,stone
breastplate,What metal is a breastplate made of?,metal
broom,What material is the broom made of?,plastic
bucket,What material is the bucket made of?,plastic
bullet train,What is the body of the bullet train made of?,metal
caldron,What is the caldron made of?,metal
can opener,What is a can opener knife usually made of?,metal
car mirror,What material is the car mirror holder made of?,plastic
cassette,What is a cassette made of?,plastic
castle,What is a the castle mainly made of?,stone
cellular telephone,What are cellular telephones made of?,metal
chain mail,Is the chain mail made of metal or plastic?,metal
chest,What material is the chest made of generally?,wood
chime,What material is the chime made of?,metal
cleaver,What is the blade of a cleaver made of?,metal
cliff dwelling,What material are cliff dwellings made of?,stone
coffee mug,What material are most coffee mugs made of?,ceramic
container ship,What is a container ship made of?,metal
convertible,What is the convertible made of?,metal
cornet,What material is the cornet made of?,metal
cowboy boot,What are cowboy boots typically made of?,leather
cradle,What material is usually a cradle made of?,wood
crate,What are most crates made of?,wood
crib,What material is the crib generally made of?,wood
Crock Pot,What is the Crock Pot made of?,metal
croquet ball,What is the croquet ball made of?,stone
crutch,What are crutches usually made of?,metal
dam,What material is the dam usually made of?,concrete
desk,What are most desks made of?,wood
dial telephone,What material is the shell of most dial telephones made of?,plastic
disk brake,What is the disk brake made of?,metal
doormat,What are most doormats made of?,cotton
drilling platform,What material are drilling platforms made of?,metal
drum,What are the drums made of?,metal
Dutch oven,What material is the Dutch oven made of?,metal
