category,question,answer
tench,What's the color of a tench?,green
goldfish,What is the color of a goldfish?,orange
tiger shark,What color is the tiger shark?,gray
stingray,What is the color of the stingray?,gray
cock,What is the color of the cock's comb?,red
cock,What is the common color of a cock's body?,brown
hen,What is the color of the beak of the hen?,orange
hen,What color is the comb of a hen?,red
ostrich,What is the color of the ostrich?,brown
ostrich,What is the color of the neck of the ostrich?,white
brambling,What color is the breast of the brambling?,orange
brambling,What color is the underbelly of the brambling?,white
brambling,What is the color of the brambling's head?,brown
goldfinch,What's the color of a goldfinch's beak?,orange
goldfinch,What is the color of the abdomen of the goldfinch?,yellow
goldfinch,What color is a goldfinch tail?,black
house finch,What is the color of the house finch at its head?,red
house finch,What is the color of the house finch’s beak?,orange
junco,What color are the junco's feathers?,gray
junco,What color is the junco's head?,gray
indigo bunting,What is the color of the indigo bunting?,blue
indigo bunting,What is the color of the lower beak of the indigo bunting?,white
robin,What is the color of the beak of the robin?,yellow
robin,What is the color of the belly of the robin?,orange
robin,What is the color of the wings of the robin?,gray
robin,What is the head color of most robins?,black
robin,What color are the legs of the robin?,black
bulbul,What is the most common color of a bulbul's beak?,black
jay,What is the color of the tail feathers of a jay?,blue
jay,What color is the feather on a jay's belly?,white
jay,What color are most jays' wings?,blue
jay,What is the color of the legs of a jay?,black
magpie,What is the color of the head of most magpies?,black
chickadee,What is the color of most chickadees’ beaks?,black
water ouzel,What is the color of the water ouzel’s beak?,gray
kite,What is the color of the kite?,brown
bald eagle,What is the color of the bald eagle's head?,white
bald eagle,What is the color of the bald eagle's beak?,yellow
bald eagle,What is the color of the bald eagle's body?,black
vulture,What is the color of a vulture's wings?,gray
great grey owl,What is the beak color of the great grey owl?,yellow
European fire salamander,What is the color of the spot of most European fire salamanders?,yellow
eft,What is the color of the eft mostly?,orange
spotted salamander,What is the color of the spots of a spotted salamander?,yellow
bullfrog,What is the color of the bullfrog?,green
tree frog,What color is the tree frog's skin?,green
common iguana,What color is the common iguana usually?,gray
American chameleon,What is the color of the American chameleon?,green
frilled lizard,What is the color of the frilled lizard?,brown
African chameleon,What is the color of the African chameleon?,green
Komodo dragon,What is the color of a Komodo dragon?,gray
African crocodile,What is the color of the African crocodile?,gray
American alligator,What is the color of the American alligator?,brown
thunder snake,What is the color of the thunder snake?,brown
ringneck snake,What is the common color of the ringneck snake?,gray
green snake,What is the color of the green snake?,green
green snake,What color is the green snake's underbelly?,green
garter snake,What color is the line on the garter snake?,yellow
water snake,What common color is a water snake?,brown
vine snake,What is the color of the vine snake?,green
boa constrictor,What is the predominant color of the boa constrictor?,brown
rock python,What is the color of most of the rock python?,brown
rock python,What is the blotches color in rock python?,black
Indian cobra,What is the main color of the Indian cobra?,brown
green mamba,What color is a green mamba?,green
sidewinder,What is the color of the sidewinder?,brown
trilobite,What is the most common color of the trilobite?,brown
black and gold garden spider,What is the color of the black and gold garden spider's web?,white
garden spider,What is the primary color of the garden spider?,brown
black widow,What is the color of the black widow?,black
black widow,What color is the sign on the black widow's body?,red
tarantula,What color is a tarantula's body?,brown
wolf spider,What's the color of the wolf spider?,brown
tick,What is the color of ticks?,brown
centipede,What is the color of the centipede?,brown
centipede,What color are the legs of the centipede?,brown
black grouse,What is the color of the comb of the black grouse?,red
black grouse,What color are the tails of most black grouses?,black
ptarmigan,What is the color of the beak of the ptarmigan?,black
ruffed grouse,What is the color of the ruffed grouse?,brown
prairie chicken,What is the color of the prairie chicken?,brown
peacock,What's the color of a peacock's body?,blue
peacock,What is the color of the neck of a peacock?,blue
quail,What is the color of the quail?,gray
partridge,What is the color of the partridge?,brown
African grey,What's the color of the African grey?,gray
African grey,What is the color of the African grey's head?,white
macaw,What color are the macaw's talons?,black
sulphur-crested cockatoo,What color are the wings of the sulphur-crested cockatoo?,white
sulphur-crested cockatoo,What is the color of the feathers on the top of the sulphur-crested cockatoo?,yellow
sulphur-crested cockatoo,What is the beak color of the sulphur-crested cockatoo?,black
sulphur-crested cockatoo,What is the common color of the sulphur-crested cockatoo?,white
lorikeet,What's the color of a lorikeet's beak?,red
lorikeet,What is the color of the head of a lorikeet?,blue
lorikeet,What is the color of the lorikeet's wings?,green
coucal,What color are the mantle and wings of the coucal?,brown
coucal,What's the color of a coucal's eyes?,red
coucal,What is the feather color of coucal?,brown
bee eater,What color is the bee eater's beak?,black
hornbill,What is the color of the hornbill's wings?,black
hornbill,What is the color of the hornbill's beak?,yellow
hummingbird,What's the color of a hummingbird's beak?,black
jacamar,What color are the wings of most jacamars?,green
toucan,What color is the toucan's body?,black
toucan,What is the color of the beak of the toucan?,yellow
drake,What color is the drake's head?,green
drake,What is the color of the drake's beak?,yellow
drake,What is the color of the drake's legs?,yellow
red-breasted merganser,What is the color of the red-breasted merganser's long and thin bill?,orange
red-breasted merganser,What is the head color of the red-breasted merganser?,black
goose,What is the primary colour of the goose's neck?,black
goose,What's the color of the goose’s beak mostly?,black
black swan,What color is the black swan?,black
tusker,What is the color of the ivory of the tusker?,white
echidna,What color is the echidna?,brown
echidna,What color are the spines of the echidna?,brown
platypus,What's the color of a platypus's mouth?,black
platypus,What is the primary colour of the platypus?,brown
wallaby,What is the color of the wallaby?,brown
koala,What is the color of the koala?,brown
wombat,What is the color of the wombat?,gray
nematode,What color do most nematodes glow under a black light?,green
conch,What are the typical colors of a conch?,yellow
chambered nautilus,What is the color of the chambered nautilus?,white
king crab,What is the color of a king crab?,red
American lobster,What color is the American lobster?,red
spiny lobster,What is the main color of a spiny lobster?,orange
crayfish,What color is the crayfish?,red
hermit crab,What is the common color of the hermit crab?,brown
white stork,What color are the feathers on the bottom of the white stork wings?,black
white stork,What color is the white stork's beak?,orange
black stork,What is the color of the abdomen of a black stork?,white
black stork,What is the color of the legs of a black stork?,yellow
black stork,What is the color of the beak of a black stork?,red
flamingo,What's the color of a flamingo?,pink
flamingo,What is the color of the flamingo's beak tip?,black
flamingo,What are some of the colors that provide the muted appearance of the flamingo’s feathers?,pink
little blue heron,What color is the little blue heron?,blue
American egret,What is the color of the American egret's beak?,yellow
